dem,CA,Feinstein,SOLID D
dem,CT,Murphy,SOLID D
dem,DE,Carper,SOLID D
dem,HI,Hirono,SOLID D
dem,MD,Cardin,SOLID D
dem,MA,Warren,SOLID D
dem,NM,Heinrich,SOLID D
dem,NY,Gillibrand,SOLID D
dem,RI,Whitehouse,SOLID D
dem,VT,Sanders(I),SOLID D
dem,VA,Kaine,SOLID D
dem,WA,Cantwell,SOLID D
dem,MN,Klobuchar,SOLID D
dem,MT,Tester,LIKELY D
dem,NJ,Menéndez,LIKELY D
dem,PA,Casey,LIKELY D
dem,WI,Baldwin,LIKELY D
dem,MI,Stabenow,LIKELY D
dem,FL,Nelson,LEAN D
dem,ME,King(I),LEAN D
dem,ND,Heitkamp,LEAN D
dem,OH,Brown,LEAN D
dem,IN,Donnelly,TOSS UP
dem,MO,McCaskill,TOSS UP
dem,WV,Manchin,TOSS UP
dem,MN,Smith,TOSS UP
rep,AZ,Flake,TOSS UP
rep,NV,Heller,TOSS UP
rep,TN,Corker,TOSS UP
rep,TX,Cruz,LIKELY R
rep,MS,Wicker,SOLID R
rep,NE,Fischer,SOLID R
rep,UT,Hatch,SOLID R
rep,WY,Barrasso,SOLID R
