AK,AL,Don Young,R,Yes,Safe R,7
FL,22,Ted Deutch,D,Yes,Safe D,1
FL,23,Debbie W. Schultz,D,Yes,Safe D,1
FL,24,Frederica Wilson,D,Yes,Safe D,1
FL,25,Mario Diaz-Balart,R,Yes,Safe R,7
FL,26,Carlos Curbelo,R,Yes,Toss-up,4
FL,27,Ileana Ros-Lehtinen,R,No,Leans D (flip),3
GA,1,Buddy Carter,R,Yes,Safe R,7
GA,2,Sanford Bishop,D,Yes,Safe D,1
GA,3,Drew Ferguson,R,Yes,Safe R,7
GA,4,Hank Johnson,D,Yes,Safe D,1
GA,5,John Lewis,D,Yes,Safe D,1
GA,6,Karen Handel,R,Yes,Leans R,5
GA,7,Rob Woodall,R,Yes,Safe R,7
GA,8,Austin Scott,R,Yes,Safe R,7
GA,9,Doug Collins,R,Yes,Safe R,7
GA,10,Jodi Hice,R,Yes,Safe R,7
GA,11,Barry Loudermilk,R,Yes,Safe R,7
GA,12,Rick Allen,R,Yes,Safe R,7
GA,13,David Scott,D,Yes,Safe D,1
GA,14,Tom Graves,R,Yes,Safe R,7
HI,1,Colleen Hanabusa,D,No,Safe D,1
HI,2,Tulsi Gabbard,D,Yes,Safe D,1
ID,1,Ra̼l Labrador,R,No,Safe R,7
ID,2,Mike Simpson,R,Yes,Safe R,7
IL,1,Bobby Rush,D,Yes,Safe D,1
IL,2,Robin Kelly,D,Yes,Safe D,1
IL,3,Dan Lipinski,D,Yes,Safe D,1
IL,4,Luis Gutierrez,D,No,Safe D,1
IL,5,Mike Quigley,D,Yes,Safe D,1
IL,6,Peter Roskam,R,Yes,Leans R,5
IL,7,Danny Davis,D,Yes,Safe D,1
IL,8,Raja Krishnamoorthi,D,Yes,Safe D,1
IL,9,Jan Schakowsky,D,Yes,Safe D,1
IL,10,Brad Schneider,D,Yes,Safe D,1
IL,11,Bill Foster,D,Yes,Safe D,1
IL,12,Mike Bost,R,Yes,Leans R,5
IL,13,Rodney Davis,R,Yes,Likely R,6
IL,14,Randy Hultgren,R,Yes,Likely R,6
IL,15,John Shimkus,R,Yes,Safe R,7
IL,16,Adam Kinzinger,R,Yes,Safe R,7
IL,17,Cheri Bustos,D,Yes,Safe D,1
IL,18,Darin LaHood,R,Yes,Safe R,7
IN,1,Pete Visclosky,D,Yes,Safe D,1
IN,2,Jackie Walorski,R,Yes,Safe R,7
IN,3,Jim Banks,R,Yes,Safe R,7
IN,4,Todd Rokita,R,No,Safe R,7
IN,5,Susan Brooks,R,Yes,Safe R,7
IN,6,Luke Messer,R,No,Safe R,7
IN,7,Andre Carson,D,Yes,Safe D,1
IN,8,Larry Bucshon,R,Yes,Safe R,7
IN,9,Trey Hollingsworth,R,Yes,Safe R,7
IA,1,Rod Blum,R,Yes,Leans R,5
IA,2,Dave Loebsack,D,Yes,Likely D,2
IA,3,David Young,R,Yes,Leans R,5
IA,4,Steve King,R,Yes,Safe R,7
KS,1,Roger Marshall,R,Yes,Safe R,7
KS,2,Lynn Jenkins,R,No,Leans R,5
KS,3,Kevin Yoder,R,Yes,Leans R,5
KS,4,Estes Ro,R,Yes,Safe R,7
KY,1,James Comer,R,Yes,Safe R,7
KY,2,Brett Guthrie,R,Yes,Safe R,7
KY,3,John Yarmuth,D,Yes,Safe D,1
KY,4,Thomas Massie,R,Yes,Safe R,7
KY,5,Hal Rogers,R,Yes,Safe R,7
KY,6,Andy Barr,R,Yes,Leans R,5
LA,1,Steve Scalise,R,Yes,Safe R,7
LA,2,Cedric Richmond,D,Yes,Safe D,1
LA,3,Clay Higgins,R,Yes,Safe R,7
LA,4,Mike Johnson,R,Yes,Safe R,7
LA,5,Ralph Abraham,R,Yes,Safe R,7
LA,6,Garret Graves,R,Yes,Safe R,7
ME,1,Chellie Pingree,D,Yes,Safe D,1
ME,2,Bruce Poliquin,R,Yes,Leans R,5
MD,1,Andy Harris,R,Yes,Safe R,7
MD,2,Dutch Ruppersberger,D,Yes,Safe D,1
MD,3,John Sarbanes,D,Yes,Safe D,1
MD,4,Anthony Brown,D,Yes,Safe D,1
MD,5,Steny Hoyer,D,Yes,Safe D,1
MD,6,John Delaney,D,No,Safe D,1
MD,7,Elijah Cummings,D,Yes,Safe D,1
MD,8,Jamie Raskin,D,Yes,Safe D,1
MA,1,Richard Neal,D,Yes,Safe D,1
MA,2,Jim McGovern,D,Yes,Safe D,1
MA,3,Niki Tsongas,D,No,Safe D,1
MA,4,Joe Kennedy,D,Yes,Safe D,1
MA,5,Katherine Clark,D,Yes,Safe D,1
MA,6,Seth Moulton,D,Yes,Safe D,1
MA,7,Mike Capuano,D,Yes,Safe D,1
MA,8,Stephen Lynch,D,Yes,Safe D,1
MA,9,Bill Keating,D,Yes,Safe D,1
MI,1,Jack Bergman,R,Yes,Safe R,7
MI,2,Bill Huizenga,R,Yes,Safe R,7
MI,3,Justin Amash,R,Yes,Safe R,7
MI,4,John Moolenaar,R,Yes,Safe R,7
MI,5,Dan Kildee,D,Yes,Safe D,1
MI,6,Fred Upton,R,Yes,Safe R,7
MI,7,Tim Walberg,R,Yes,Safe R,7
MI,8,Mike Bishop,R,Yes,Likely R,6
MI,9,Sander Levin,D,No,Safe D,1
MI,10,Paul Mitchell,R,Yes,Safe R,7
MI,11,Dave Trott,R,No,Toss-up,4
MI,12,Debbie Dingell,D,Yes,Safe D,1
MI,13,VACANT (Concurrent special 11/6/18),VACANT (Concurrent special 11/6/18),D,No,Safe D
MI,14,Brenda Lawrence,D,Yes,Safe D,1
MN,1,Tim Walz,D,No,Toss-up,4
MN,2,Jason Lewis,R,Yes,Toss-up,4
MN,3,Erik Paulsen,R,Yes,Leans R,5
MN,4,Betty McCollum,D,Yes,Safe D,1
MN,5,Keith Ellison,D,Yes,Safe D,1
MN,6,Tom Emmer,R,Yes,Safe R,7
MN,7,Collin Peterson,D,Yes,Likely D,2
MN,8,Rick Nolan,D,No,Toss-up,4
MS,1,Trent Kelly,R,Yes,Safe R,7
MS,2,Bennie Thompson,D,Yes,Safe D,1
MS,3,Gregg Harper,R,No,Safe R,7
MS,4,Steven Palazzo,R,Yes,Safe R,7
MO,1,Lacy Clay,D,Yes,Safe D,1
MO,2,Ann Wagner,R,Yes,Safe R,7
MO,3,Blaine Luetkemeyer,R,Yes,Safe R,7
MO,4,Vicki Hartzler,R,Yes,Safe R,7
MO,5,Emanuel Cleaver,D,Yes,Safe D,1
MO,6,Sam Graves,R,Yes,Safe R,7
MO,7,Billy Long,R,Yes,Safe R,7
MO,8,Jason Smith,R,Yes,Safe R,7
NE,1,Jeff Fortenberry,R,Yes,Safe R,7
NE,2,Don Bacon,R,Yes,Toss-up,4
NE,3,Adrian Smith,R,Yes,Safe R,7
NV,1,Dina Titus,D,Yes,Safe D,1
NV,2,Mark Amodei,R,Yes,Safe R,7
NV,3,Jacky Rosen,D,No,Leans D,3
NV,4,Ruben Kihuen,D,No,Leans D,3
NH,1,Carol Shea-Porter,D,No,Toss-up,4
NH,2,Annie Kuster,D,Yes,Likely D,2
NJ,1,Donald Norcross,D,Yes,Safe D,1
NJ,2,Frank LoBiondo,R,No,Leans D (flip),3
NJ,3,Tom MacArthur,R,Yes,Likely R,6
NJ,4,Chris Smith,R,Yes,Safe R,7
NJ,5,Josh Gottheimer,D,Yes,Likely D,2
NJ,6,Frank Pallone,D,Yes,Safe D,1
NJ,7,Leonard Lance,R,Yes,Leans R,5
NJ,8,Albio Sires,D,Yes,Safe D,1
NJ,9,Bill Pascrell,D,Yes,Safe D,1
NJ,10,Donald Payne,D,Yes,Safe D,1
NJ,11,Rodney Frelinghuysen,R,No,Toss-up,4
NJ,12,Bonnie W. Coleman,D,Yes,Safe D,1
NM,1,Michelle L. Grisham,D,No,Safe D,1
NM,2,Steve Pearce,R,No,Likely R,6
NM,3,Ben Lujan,D,Yes,Safe D,1
NY,1,Lee Zeldin,R,Yes,Likely R,6
NY,2,Peter King,R,Yes,Safe R,7
NY,3,Tom Suozzi,D,Yes,Likely D,2
NY,4,Kathleen Rice,D,Yes,Safe D,1
NY,5,Gregory Meeks,D,Yes,Safe D,1
NY,6,Grace Meng,D,Yes,Safe D,1
NY,7,Nydia Velazquez,D,Yes,Safe D,1
NY,8,Hakeem Jeffries,D,Yes,Safe D,1
NY,9,Yvette Clarke,D,Yes,Safe D,1
NY,10,Jerrold Nadler,D,Yes,Safe D,1
NY,11,Dan Donovan,R,Yes,Likely R,6
NY,12,Carolyn Maloney,D,Yes,Safe D,1
NY,13,Adriano Espaillat,D,Yes,Safe D,1
NY,14,Joe Crowley,D,Yes,Safe D,1
NY,15,Jose Serrano,D,Yes,Safe D,1
NY,16,Eliot Engel,D,Yes,Safe D,1
NY,17,Nita Lowey,D,Yes,Safe D,1
NY,18,Sean Maloney,D,Yes,Likely D,2
NY,19,John Faso,R,Yes,Toss-up,4
NY,20,Paul Tonko,D,Yes,Safe D,1
NY,21,Elise Stefanik,R,Yes,Safe R,7
NY,22,Claudia Tenney,R,Yes,Toss-up,4
NY,23,Tom Reed,R,Yes,Likely R,6
NY,24,John Katko,R,Yes,Likely R,6
NY,25,Louise Slaughter,D,Yes,Safe D,1
NY,26,Brian Higgins,D,Yes,Safe D,1
NY,27,Chris Collins,R,Yes,Safe R,7
NC,1,G.K. Butterfield,D,Yes,Safe D,1
NC,2,George Holding,R,Yes,Likely R,6
NC,3,Walter Jones,R,Yes,Safe R,7
NC,4,David Price,D,Yes,Safe D,1
NC,5,Virginia Foxx,R,Yes,Safe R,7
NC,6,Mark Walker,R,Yes,Safe R,7
NC,7,David Rouzer,R,Yes,Safe R,7
NC,8,Richard Hudson,R,Yes,Safe R,7
NC,9,Robert Pittenger,R,Yes,Likely R,6
NC,10,Patrick McHenry,R,Yes,Safe R,7
NC,11,Mark Meadows,R,Yes,Safe R,7
NC,12,Alma Adams,D,Yes,Safe D,1
NC,13,Ted Budd,R,Yes,Likely R,6
OH,1,Steve Chabot,R,Yes,Likely R,6
OH,2,Brad Wenstrup,R,Yes,Safe R,7
OH,3,Joyce Beatty,D,Yes,Safe D,1
OH,4,Jim Jordan,R,Yes,Safe R,7
OH,5,Bob Latta,R,Yes,Safe R,7
OH,6,Bill Johnson,R,Yes,Safe R,7
OH,7,Bob Gibbs,R,Yes,Safe R,7
OH,8,Warren Davidson,R,Yes,Safe R,7
OH,9,Marcy Kaptur,D,Yes,Safe D,1
OH,10,Michael Turner,R,Yes,Safe R,7
OH,11,Marcia Fudge,D,Yes,Safe D,1
OH,12,VACANT (Special 8/7/18),R,NA,Likely R,6
OH,13,Tim Ryan,D,Yes,Safe D,1
OH,14,David Joyce,R,Yes,Safe R,7
OH,15,Steve Stivers,R,Yes,Safe R,7
OH,16,Jim Renacci,R,No,Safe R,7
OK,1,Jim Bridenstine,R,No,Safe R,7
OK,2,Markwayne Mullin,R,Yes,Safe R,7
OK,3,Frank Lucas,R,Yes,Safe R,7
OK,4,Tom Cole,R,Yes,Safe R,7
OK,5,Steve Russell,R,Yes,Safe R,7
OR,1,Suzanne Bonamici,D,Yes,Safe D,1
OR,2,Greg Walden,R,Yes,Safe R,7
OR,3,Earl Blumenauer,D,Yes,Safe D,1
OR,4,Peter DeFazio,D,Yes,Safe D,1
OR,5,Kurt Schrader,D,Yes,Safe D,1
PA,1,Bob Brady,D,No,Safe D,1
PA,2,Dwight Evans,D,Yes,Safe D,1
PA,3,Mike Kelly,R,Yes,Safe R,7
PA,4,Scott Perry,R,Yes,Safe R,7
PA,5,Glenn Thompson,R,Yes,Safe R,7
PA,6,Ryan Costello,R,Yes,Leans R,5
PA,7,Pat Meehan,R,No,Toss-up,4
PA,8,Brian Fitzpatrick,R,Yes,Leans R,5
PA,9,Bill Shuster,R,No,Safe R,7
PA,10,Tom Marino,R,Yes,Safe R,7
PA,11,Lou Barletta,R,No,Safe R,7
PA,12,Keith Rothfus,R,Yes,Safe R,7
PA,13,Brendan Boyle,D,Yes,Safe D,1
PA,14,Michael Doyle,D,Yes,Safe D,1
PA,15,Charlie Dent,R,No,Leans R,5
PA,16,Lloyd Smucker,R,Yes,Likely R,6
PA,17,Matt Cartwright,D,Yes,Likely D,2
PA,18,VACANT (Special 3/13/18),R,NA,Leans R,5
RI,1,David Cicilline,D,Yes,Safe D,1
RI,2,Jim Langevin,D,Yes,Safe D,1
SC,1,Mark Sanford,R,Yes,Safe R,7
SC,2,Joe Wilson,R,Yes,Safe R,7
SC,3,Jeff Duncan,R,Yes,Safe R,7
SC,4,Trey Gowdy,R,No,Safe R,7
SC,5,Norman Ralp,R,Yes,Safe R,7
SC,6,Jim Clyburn,D,Yes,Safe D,1
SC,7,Tom Rice,R,Yes,Safe R,7
TN,1,Phil Roe,R,Yes,Safe R,7
TN,2,Jimmy Duncan,R,No,Safe R,7
TN,3,Chuck Fleischmann,R,Yes,Safe R,7
TN,4,Scott DesJarlais,R,Yes,Safe R,7
TN,5,Jim Cooper,D,Yes,Safe D,1
TN,6,Diane Black,R,No,Safe R,7
TN,7,Marsha Blackburn,R,No,Safe R,7
TN,8,David Kustoff,R,Yes,Safe R,7
TN,9,Steve Cohen,D,Yes,Safe D,1
TX,1,Louie Gohmert,R,Yes,Safe R,7
TX,2,Ted Poe,R,No,Safe R,7
TX,3,Sam Johnson,R,No,Safe R,7
TX,4,John Ratcliffe,R,Yes,Safe R,7
TX,5,Jeb Hensarling,R,No,Safe R,7
TX,6,Joe Barton,R,No,Safe R,7
TX,7,John Culberson,R,Yes,Leans R,5
TX,8,Kevin Brady,R,Yes,Safe R,7
TX,9,Al Green,D,Yes,Safe D,1
TX,10,Michael McCaul,R,Yes,Safe R,7
TX,11,Michael Conaway,R,Yes,Safe R,7
TX,12,Kay Granger,R,Yes,Safe R,7
TX,13,Mac Thornberry,R,Yes,Safe R,7
TX,14,Randy Weber,R,Yes,Safe R,7
TX,15,Vicente Gonzalez,D,Yes,Safe D,1
TX,16,Beto O'Rourke,D,No,Safe D,1
TX,17,Bill Flores,R,Yes,Safe R,7
TX,18,Sheila Jackson-Lee,D,Yes,Safe D,1
TX,19,Jodey Arrington,R,Yes,Safe R,7
TX,20,Joaquin Castro,D,Yes,Safe D,1
TX,21,Lamar Smith,R,No,Likely R,6
TX,22,Pete Olson,R,Yes,Safe R,7
TX,23,Will Hurd,R,Yes,Toss-up,4
TX,24,Kenny Marchant,R,Yes,Safe R,7
TX,25,Roger Williams,R,Yes,Safe R,7
TX,26,Michael Burgess,R,Yes,Safe R,7
TX,27,Blake Farenthold,R,No,Safe R,7
TX,28,Henry Cuellar,D,Yes,Safe D,1
TX,29,Gene Green,D,No,Safe D,1
TX,30,E.B. Johnson,D,Yes,Safe D,1
TX,31,John Carter,R,Yes,Safe R,7
TX,32,Pete Sessions,R,Yes,Likely R,6
TX,33,Mark Veasey,D,Yes,Safe D,1
TX,34,Filemon Vela,D,Yes,Safe D,1
TX,35,Lloyd Doggett,D,Yes,Safe D,1
TX,36,Brian Babin,R,Yes,Safe R,7
UT,1,Rob Bishop,R,Yes,Safe R,7
UT,2,Chris Stewart,R,Yes,Safe R,7
UT,3,Jason Chaffetz,R,Yes,Safe R,7
UT,4,Mia Love,R,Yes,Leans R,5
VA,1,Rob Wittman,R,Yes,Safe R,7
VA,2,Scott Taylor,R,Yes,Leans R,5
VA,3,Bobby Scott,D,Yes,Safe D,1
VA,4,Donald McEachin,D,Yes,Safe D,1
VA,5,Tom Garrett,R,Yes,Likely R,6
VA,6,Bob Goodlatte,R,No,Safe R,7
VA,7,Dave Brat,R,Yes,Likely R,6
VA,8,Don Beyer,D,Yes,Safe D,1
VA,9,Morgan Griffith,R,Yes,Safe R,7
VA,10,Barbara Comstock,R,Yes,Toss-up,4
VA,11,Gerry Connolly,D,Yes,Safe D,1
WA,1,Suzan DelBene,D,Yes,Safe D,1
WA,2,Rick Larsen,D,Yes,Safe D,1
WA,3,"Beutler, Jaime Herrer",R,Yes,Safe R,7
WA,4,Dan Newhouse,R,Yes,Safe R,7
WA,5,"Rodgers, Cathy McMorris",R,Yes,Likely R,6
WA,6,Derek Kilmer,D,Yes,Safe D,1
WA,7,Pramila Jayapal,D,Yes,Safe D,1
WA,8,Dave Reichert,R,No,Toss-up,4
WA,9,Adam Smith,D,Yes,Safe D,1
WA,10,Denny Heck,D,Yes,Safe D,1
WV,1,David McKinley,R,Yes,Safe R,7
WV,2,Alex Mooney,R,Yes,Safe R,7
WV,3,Evan Jenkins,R,No,Likely R,6
WI,1,Paul Ryan,R,Yes,Safe R,7
WI,2,Mark Pocan,D,Yes,Safe D,1
WI,3,Ron Kind,D,Yes,Likely D,2
WI,4,Gwen Moore,D,Yes,Safe D,1
WI,5,Jim Sensenbrenner,R,Yes,Safe R,7
WI,6,Glenn Grothman,R,Yes,Likely R,6
WI,7,Sean Duffy,R,Yes,Safe R,7
WI,8,Mike Gallagher,R,Yes,Safe R,7
